year,month,day,plane_id,scheduled_departure_time_HHMM,actual_departure_time_HHMM,scheduled_arrival_time_HHMM,actual_arrival_time_HHMM,airline_id,origin_airport,destination_airport,distance,pilot_id,pilot_first_name,pilot_last_name
2013,12,1,N318NB,600,557,754,733,DL,LGA,DTW,502.7,P0020,Mr. Joseph J,Masselmani
2013,12,1,N14148,600,557,834,828,EV,EWR,ATL,746.3,P0021,Mr. Lawrence,Fynney
2013,12,1,M592JB,600,558,856,841,B6,LGA,FLL,1076.7,P0022,Miss. Anna Annie,Beesley
2013,12,1,M833AS,600,558,717,721,EV,JFK,IAD,228.2,P0023,Mr. Michael Thompson,McGowan
2013,12,1,N368SW,600,558,725,718,WN,EWR,MDW,711.1,P0024,Miss. Torborg Danira,Sloper
2013,12,1,M87507,600,558,743,724,UA,EWR,CLE,404.3,P0025,Mrs. Carl Oscar,Asplund
2013,12,1,N13202,600,559,719,709,EV,EWR,IAD,212.6,P0026,Mr. Farred Chehab,Emir
2013,12,1,M651JB,600,600,1043,1041,B6,JFK,SJU,1598.4,P0027,Mr. Charles Alexander,Fortune
2013,12,1,N455UA,600,600,736,717,UA,LGA,ORD,733.4,P0028,Miss. Ellen Nellie,O'Dwyer
2013,12,1,N37466,600,602,738,724,UA,EWR,ORD,719.5,P0029,Mr. Lalio,Todoroff
2013,12,1,M8313F,605,603,735,731,WN,LGA,MDW,725.6,P0030,Don. Manuel E,Uruchurtu
2013,12,1,N31131,608,604,829,818,EV,EWR,IND,645.2,P0031,Mrs. Michael Augustus,Spencer
2013,12,1,N486UA,600,604,840,827,UA,EWR,LAS,2227.8,P0032,Miss. Mary Agatha,Glynn
2013,12,1,M705JB,611,606,912,900,B6,JFK,FLL,1069.1,P0033,Mr. Edward H,Wheadon
2013,12,1,M954DL,610,606,812,749,DL,LGA,MSP,1020.4,P0034,Mr. Edgar Joseph,Meyer
2013,12,1,M76502,604,606,937,925,UA,EWR,SFO,2565.5,P0035,Mr. Alexander Oskar,Holverson
2013,12,1,N3KPAA,615,608,920,857,AA,LGA,MIA,1096.2,P0036,Mr. Hanna,Mamee
2013,12,1,N5DWAA,610,610,915,851,AA,EWR,MIA,1085.4,P0037,Mr. Ernest Charles,Cann
2013,12,1,N37462,615,612,916,853,UA,EWR,FLL,1065.5,P0038,Miss. Augusta Maria,Nicola-Yarred
2013,12,1,N290WN,615,613,930,912,WN,EWR,HOU,1411.4,P0039,Miss. Jamila,Ahlin
2013,12,1,M541UW,615,615,817,810,US,JFK,CLT,541.9,P0040,Mrs. Johan,Turpin
2013,12,1,N245AY,615,621,817,759,US,EWR,CLT,529.2,P0041,Mrs. Michael John Robert,Kraeff
2013,12,1,N11189,630,623,844,804,EV,EWR,MSP,1008.7,P0042,Mr. Theodor,Laroche
2013,12,1,N17115,630,624,745,727,EV,EWR,BUF,282.7,P0043,Miss. Simonne Marie Anne Andree,Devaney
2013,12,1,N430WN,625,624,900,857,WN,LGA,ATL,762.4,P0044,Miss. Margaret Delia,Rogers
2013,12,1,N27477,600,624,853,855,UA,EWR,MCO,937,P0045,Mr. Michael John,Lennon
2013,12,1,M979AT,630,625,854,855,DL,EWR,ATL,746.2,P0046,Mr. Denis,O'Driscoll
2013,12,1,M571UW,630,625,1018,1007,US,JFK,PHX,2153.6,P0047,Miss. Bridget,Samaan
2013,12,1,N195UW,630,625,840,823,US,LGA,CLT,544.8,P0048,Mr. Youssef,Arnold-Franchi
2013,12,1,N169UW,630,626,835,815,US,EWR,CLT,529.8,P0049,Mrs. Josef,Panula
2013,12,1,M630JB,630,627,919,856,B6,LGA,MCO,950.6,P0050,Master. Juha Niilo,Nosworthy
2013,12,1,M73276,630,627,924,907,UA,EWR,TPA,997.4,P0051,Mr. Richard Cater,Harper
2013,12,1,N17560,630,628,804,751,EV,EWR,BNA,748.4,P0052,Mrs. Henry Sleeper,Faunthorpe
2013,12,1,M76288,635,628,951,931,UA,EWR,LAX,2454.4,P0053,Mrs. Lizzie,Ostby
2013,12,1,M75432,630,628,922,909,UA,EWR,PBI,1023.6,P0054,Mr. Engelhart Cornelius,Woolner
2013,12,1,M947DL,630,629,905,853,DL,JFK,ATL,760.4,P0055,Mr. Hugh,Rugg
2013,12,1,N29717,630,629,934,907,UA,LGA,IAH,1416.9,P0056,Miss. Emily,Novel
2013,12,1,M537JB,635,630,929,910,B6,JFK,TPA,1005,P0057,Mr. Mansouer,West
2013,12,1,N13964,632,630,854,838,EV,EWR,SDF,642.2,P0058,Miss. Constance Mirium,Goodwin
2013,12,1,M590UA,639,630,1002,951,UA,JFK,LAX,2475.8,P0059,Master. Michael Frederick,Sirayanian
2013,12,1,N14143,635,631,812,759,EV,EWR,RDU,416.3,P0060,Mr. Orsen,Icard
2013,12,1,M827UA,635,631,749,750,UA,EWR,BOS,200.9,P0061,Miss. Amelie,Harris
2013,12,1,M585JB,630,638,938,930,B6,JFK,RSW,1074.7,P0062,Mr. Henry Birkhardt,Skoog
2013,12,1,M8674A,645,639,857,837,9E,EWR,CVG,569.4,P0063,Master. Harald,Stewart
2013,12,1,M586JB,645,639,907,845,B6,JFK,MSY,1182,P0064,Mr. Micheal A,Moubarek
2013,12,1,M919XJ,645,640,820,813,9E,LGA,PIT,335.6,P0065,Master. Gerios,Nye
2013,12,1,N3JDAA,645,640,955,943,AA,LGA,DFW,1389.5,P0066,Mrs. Megan,Crease
2013,12,1,N11539,645,641,840,818,EV,EWR,STL,872.3,P0067,Mr. Ernest James,Kink
2013,12,1,N11192,614,644,805,836,EV,EWR,CMH,463.6,P0068,Miss. Erna Alexandra,Jenkin
2013,12,1,M760SW,645,644,810,802,WN,LGA,MKE,738.4,P0069,Mr. Vincenz,Hood
2013,12,1,M520UA,650,644,919,903,UA,LGA,DEN,1620.7,P0070,Mr. Stephen Curnow,Chronopoulos
2013,12,1,N16951,650,646,825,811,EV,EWR,MSN,799.2,P0071,Miss. Lillian Amy,Bing
2013,12,1,N4XKAA,700,648,850,818,AA,LGA,ORD,733.1,P0072,Mr. Ambrose Jr,Moen
2013,12,1,M631AA,650,648,955,945,AA,JFK,MCO,944.1,P0073,Mr. Apostolos,Staneff
2013,12,1,M568UA,600,649,933,1009,UA,JFK,SFO,2586.2,P0074,Mr. Lee,Moutal
2013,12,1,N33262,658,651,1004,940,UA,EWR,RSW,1068.1,P0075,Mr. Sigurd Hansen,Caldwell
2013,12,1,N3HSAA,655,653,940,935,AA,JFK,LAS,2248.9,P0076,Mr. Ivan,Dowdell
2013,12,1,M805JB,700,653,1015,1023,B6,JFK,LAX,2475.6,P0077,Mr. Rahamin Haim,Waelens
2013,12,1,N192DN,700,654,1023,1018,DL,JFK,SLC,1990.9,P0078,Master. Alden Gates,Sheerlinck
2013,12,1,N3753,655,654,1150,1134,DL,JFK,SJU,1598.4,P0079,Mr. Achille,McDermott
2013,12,1,M950DL,700,655,936,924,DL,LGA,ATL,762,P0080,Mr. Jan Baptist,Carrau
2013,12,1,M704X,700,655,1037,1015,DL,JFK,SFO,2586.6,P0081,Miss. Brigdet Delia,Ilett
2013,12,1,M833UA,700,655,836,827,UA,LGA,ORD,733.6,P0082,Mr. Francisco M,Backstrom
2013,12,1,M642VA,700,656,1025,1005,VX,JFK,LAX,2475.2,P0083,Miss. Bertha,Ford
2013,12,1,N342NW,1930,657,2249,1010,DL,JFK,SAT,1587.3,P0084,Mrs. Karl Alfred,Slocovski
2013,12,1,M638JB,700,658,958,944,B6,JFK,PBI,1028.3,P0085,Mr. Michael Neal,Celotti
2013,12,1,N526JB,700,658,845,833,B6,JFK,ORD,740.6,P0086,Mr. Selman Francis,Christmann
2013,12,1,N325US,700,658,951,934,DL,LGA,MCO,950.6,P0087,Miss. Mabel Helen,Andreasson
2013,12,1,N13913,705,658,916,914,EV,EWR,GRR,605,P0088,Mr. Francesco,Chaffee
2013,12,1,N435AS,705,700,1017,1005,AS,EWR,SEA,2402.9,P0089,Mr. Emil,Dean
2013,12,1,N183JB,650,700,759,819,B6,JFK,BOS,187.1,P0090,Mr. Paul Edvin,Coxon
2013,12,1,N323NB,700,700,1002,1000,DL,LGA,FLL,1076.8,P0091,Mr. Herbert Fuller,Shorney
2013,12,1,N357NB,710,700,1021,952,DL,LGA,MIA,1096.7,P0092,Mr. Bertram Frank,Goldschmidt
2013,12,1,M598JB,705,703,1156,1225,B6,JFK,SJU,1598.6,P0093,Mr. Daniel,Greenfield
2013,12,1,N13965,705,703,908,848,EV,EWR,GSP,594.5,P0094,Mr. Charles Joseph,Doling
2013,12,1,N24103,639,703,807,808,EV,EWR,PIT,319.2,P0095,Mr. George B,Kantor
2013,12,1,N3KKAA,710,708,1025,1004,AA,LGA,MIA,1096.1,P0096,Mr. Michael Bertram,Petranec
2013,12,1,N187DN,700,709,1023,1040,DL,JFK,LAX,2475.3,P0097,Mrs. John T,Petroff
2013,12,1,M506JB,701,710,831,844,B6,JFK,BUF,301.1,P0098,Mr. Sinai,White
2013,12,1,N297WN,715,711,905,849,WN,LGA,STL,888.2,P0099,Miss. Matilda,Johansson
2013,12,1,N338AA,720,718,1045,1020,AA,JFK,MIA,1089.8,P0100,Mr. Pastcho,Gustafsson
2013,12,1,N3CKAA,730,722,1040,1007,AA,LGA,PBI,1035.9,P0101,Mr. Richard Frasar,Mionoff
2013,12,1,N316JB,725,722,1002,953,B6,JFK,JAX,828,P0102,Mr. Gustaf Joel,Salkjelsvik
2013,12,1,N251WN,725,722,900,824,WN,EWR,BNA,748.4,P0103,Mr. Anders Vilhelm,Moss
2013,12,1,N371NB,725,724,927,911,DL,LGA,DTW,502.8,P0104,Mr. Stoytcho,Rekic
2013,12,1,M847VA,730,724,1105,1021,VX,EWR,SFO,2565.6,P0105,Miss. Anna Kristine,Porter
2013,12,1,M965UW,730,725,836,819,US,LGA,PHL,96.8,P0106,Mr. Micheal Johan,Zabour
2013,12,1,M661JB,729,726,1020,1012,B6,LGA,PBI,1035.7,P0107,Mr. Tido,Barton
2013,12,1,M839VA,730,726,1110,1038,VX,JFK,SFO,2586,P0108,Mr. Walter Chamberlain,Jussila
2013,12,1,N459UA,729,726,843,828,UA,EWR,BOS,200.2,P0109,Miss. Hileni,Attalah
2013,12,1,N324AA,730,728,1050,1033,AA,JFK,LAX,2475.9,P0110,Mr. David John,Pekoniemi
2013,12,1,N360NB,740,729,1004,943,DL,LGA,MSY,1183.3,P0111,Miss. Katriina,Connors
2013,12,1,N18220,720,730,1024,1027,UA,LGA,IAH,1416.3,P0112,Miss. Malake,Baxter
2013,12,1,M928XJ,735,732,949,927,9E,JFK,DTW,509.7,P0113,Mr. Edvard,Hickman
2013,12,1,N373JB,736,733,920,904,B6,JFK,RDU,427.8,P0114,Mr. Patrick,Moore
2013,12,1,N13988,738,736,849,829,EV,EWR,MHT,209.9,P0115,Mr. Michael John Robert,Webber
2013,12,1,N3LAAA,740,737,925,904,AA,LGA,ORD,733.9,P0116,Mr. Quigg Edmond,McMahon
2013,12,1,N508MQ,745,739,1040,1015,MQ,JFK,TPA,1005.6,P0117,Miss. Ellis Anna Maria,Madsen
2013,12,1,N3BWAA,745,740,1100,1034,AA,LGA,DFW,1389.5,P0118,Mr. Stanley George,Peter
2013,12,1,M711ZX,745,740,1058,1037,DL,JFK,SEA,2422.3,P0119,Mr. Leonard Charles,Ekstrom
2013,12,1,N30401,744,740,1037,1008,UA,EWR,MCO,937,P0120,Mr. Nicholas,Drazenoic
2013,12,1,N41104,750,741,1012,951,EV,EWR,OMA,1134.1,P0121,Miss. Susan,Coelho
2013,12,1,N37420,743,742,1230,1224,UA,EWR,SJU,1608,P0122,Mr. Percival Wayland,Robins
2013,12,1,M612JB,745,743,1043,1025,B6,LGA,TPA,1010.8,P0123,Master. Elias,Weisz
2013,12,1,M989AT,745,743,1012,1003,DL,EWR,ATL,746,P0124,Mr. Martin,Sobey
2013,12,1,M667UA,745,746,1042,1034,UA,EWR,IAH,1400.3,P0125,Mr. Fridtjof Arne,Richard
2013,12,1,N358JB,754,747,911,845,B6,JFK,IAD,228.9,P0126,Miss. Anna,Newsom
2013,12,1,M8877A,755,749,942,916,9E,JFK,PIT,340.3,P0127,Mr. Johan,Osen
2013,12,1,N491UA,751,749,928,903,UA,EWR,ORD,719.8,P0128,Mr. Jozef,Giglio
2013,12,1,N292JB,755,750,1000,943,B6,JFK,CHS,636.5,P0129,Mr. Domingos Fernandeo,Boulos
2013,12,1,N14568,745,752,859,921,EV,EWR,BTV,266.1,P0130,Mrs. Alexander A,Nysten
2013,12,1,N424WN,750,752,1055,1042,WN,LGA,HOU,1428.3,P0131,Mrs. Leopold,Hakkarainen
2013,12,1,M635JB,800,754,1111,1051,B6,EWR,RSW,1068.7,P0132,Mr. Samuel James Hayden,Burke
2013,12,1,N114UW,756,754,959,949,US,LGA,CLT,544.7,P0133,Mr. Emile,Andrew
2013,12,1,M789JB,800,756,912,854,B6,JFK,BOS,187.8,P0134,Miss. Helen Monypeny,Nicholls
2013,12,1,M970DL,800,756,1033,1026,DL,LGA,ATL,762.5,P0135,Mr. Jacques Heath,Navratil
2013,12,1,N3737C,800,756,1110,1048,DL,JFK,MIA,1089,P0136,Mr. Olaf Elon,Byles
2013,12,1,M936XJ,800,757,1016,1029,9E,JFK,MSP,1029.5,P0137,Mr. Victor,Bateman
2013,12,1,N5ETAA,750,757,1255,1246,AA,JFK,STT,1623.2,P0138,Mrs. Joseph,Pears
2013,12,1,N349NB,800,757,1100,1044,DL,LGA,PBI,1035.5,P0139,Miss. Anna Sofia,Meo
2013,12,1,M575UA,803,757,1032,1020,UA,LGA,DEN,1620.4,P0140,Mrs. Pekka Pietari,van Billiard
2013,12,1,N3KGAA,800,758,1115,1044,AA,LGA,MIA,1096.7,P0141,Mr. Jeremiah,Olsen
2013,12,1,M598UA,800,758,1136,1116,UA,JFK,SFO,2586,P0142,Mr. Edgardo Samuel,Gilnagh
2013,12,1,N414UA,800,758,936,923,UA,LGA,ORD,733.3,P0143,Mr. Joseph Charles,Corn
2013,12,1,M702TW,800,759,1053,1035,DL,JFK,MCO,944.5,P0144,Mr. August Edvard,Smiljanic
2013,12,1,N848MQ,805,759,945,944,MQ,LGA,RDU,431.9,P0145,Miss. Robina Maggie Ruby,Sage
2013,12,1,N34455,800,759,1056,1041,UA,EWR,TPA,997,P0146,Mr. Michel,Cribb
2013,12,1,M945DL,807,801,1112,1052,DL,JFK,FLL,1069.7,P0147,Rev. Thomas Roussel Davids,Watt
2013,12,1,N306DQ,805,801,1104,1043,DL,JFK,TPA,1005.9,P0148,Rev. Robert James,Bengtsson
2013,12,1,N15572,742,801,924,930,EV,EWR,GSO,445.9,P0149,Mrs. Thomas,Calic
2013,12,1,M600QX,805,803,959,936,EV,LGA,GSO,461.9,P0150,Mr. Alfonzo,Goldsmith
2013,12,1,M601LR,800,804,1034,1010,9E,JFK,MSY,1182.1,P0151,Mr. Austin Blyler,Chibnall
2013,12,1,N13997,812,805,1029,1012,EV,EWR,CHS,628.7,P0152,Mr. Ole Martin,Baumann
2013,12,1,M589JB,811,806,1106,1041,B6,JFK,MCO,944.2,P0153,Mr. Charles Duane,Ling
2013,12,1,N329JB,811,806,1116,1101,B6,JFK,FLL,1069.9,P0154,Miss. Katherine Katie,Van der hoef
2013,12,1,N333NB,810,806,1108,1059,DL,LGA,TPA,1010.3,P0155,Mr. Harry,Sivola
2013,12,1,M605LR,809,807,1135,1111,9E,LGA,RSW,1080.6,P0156,Mr. Mile,Smith
2013,12,1,M612QX,810,807,954,930,EV,LGA,BNA,764.3,P0157,Master. Thomas Henry,Klasen
2013,12,1,N5FAAA,805,808,1304,1312,AA,JFK,SJU,1598.8,P0158,Mr. John Hatfield,Lefebre
2013,12,1,N3750D,810,809,1116,1056,DL,JFK,SAN,2446.9,P0159,Mrs. James,Isham
2013,12,1,N302NB,815,810,1042,1033,DL,LGA,DEN,1620.3,P0160,Mr. John Viktor,Hale
2013,12,1,N14105,812,810,1040,1022,EV,EWR,MCI,1092.4,P0161,Mr. Jovo,Leonard
2013,12,1,N371AA,800,811,1135,1112,AA,JFK,SFO,2586.3,P0162,Master. Eino Viljami,Pernot
2013,12,1,M508JB,730,811,1220,1250,B6,EWR,SJU,1608.5,P0163,Master. Frank John Michael Frankie,Becker
2013,12,1,N337JB,815,811,1123,1052,B6,JFK,HOU,1428.4,P0164,Mrs. Michael,Kink-Heilmann
2013,12,1,N257WN,755,812,920,926,WN,EWR,MDW,711.3,P0165,Mr. John D,Rood
2013,12,1,M838UA,820,815,1153,1142,UA,EWR,PHX,2133,P0166,Mr. Wyckoff,O'Brien
2013,12,1,M67171,815,816,1052,1041,DL,JFK,LAS,2248.7,P0167,Master. Arthur,Romaine
2013,12,1,N827MQ,825,816,1005,952,MQ,LGA,CLE,419,P0168,Miss. Eleanor Ileen,Bourke
2013,12,1,N817MQ,820,816,940,917,MQ,JFK,DCA,213.2,P0169,Mr. Antti Wilhelm,Turcin
2013,12,1,M669AW,820,817,1021,1003,US,EWR,CLT,529.5,P0170,Mr. James Clinch,Pinsky
2013,12,1,N127UW,825,819,1029,1003,US,JFK,CLT,541.6,P0171,Mr. Klas Albin,Carbines
2013,12,1,N14570,824,820,953,938,EV,EWR,RIC,277.4,P0172,Master. Henry Forbes,Andersen-Jensen
2013,12,1,M597UA,830,821,1152,1109,UA,JFK,LAX,2475.1,P0173,Miss. Ann Elizabeth,Brown
2013,12,1,N14174,825,822,947,933,EV,EWR,PWM,284.1,P0174,Mr. Reginald,Lurette
2013,12,1,N216FR,830,822,1059,1044,F9,LGA,DEN,1620.5,P0175,Mr. Lionel,Mernagh
2013,12,1,M937XJ,830,823,1024,942,9E,JFK,RDU,427.9,P0176,Miss. Constance Gladys,Madigan
2013,12,1,N348NW,830,824,1034,1008,DL,LGA,MSP,1020.1,P0177,Mr. Rene,Yrois
2013,12,1,M8896A,830,825,1001,946,9E,LGA,IAD,229.7,P0178,Master. Clarence Gustaf Hugo,Vande Walle
2013,12,1,N190JB,829,825,1028,1010,B6,JFK,CLT,541.4,P0179,Master. Richard F,Johanson
2013,12,1,M854UA,830,826,943,933,UA,EWR,BOS,200.3,P0180,Miss. Luise Gretchen,Youseff
2013,12,1,M903XJ,830,827,944,936,9E,JFK,BOS,187.4,P0181,Mr. Hugh Roscoe,Cohen
2013,12,1,M910XJ,830,827,955,931,9E,JFK,DCA,213.2,P0182,Mr. Charles Hallace,Strom
2013,12,1,N272PQ,830,827,1013,949,9E,JFK,ORD,740.2,P0183,Mr. John,Albimona
2013,12,1,N3735D,830,827,1053,1036,DL,JFK,ATL,760.9,P0184,Mr. Stjepan,Carr
2013,12,1,M578UA,830,828,1143,1130,UA,EWR,LAX,2454.7,P0185,Mr. Michael,Blank
2013,12,1,N318JB,836,833,953,941,B6,EWR,BOS,200.8,P0186,Miss. Carla Christine Nielsine,Ali
2013,12,1,N3FRAA,800,834,910,940,AA,JFK,BOS,187.7,P0187,Master. Michel M,Cameron
2013,12,1,N12900,840,835,1030,1007,EV,EWR,STL,872,P0188,Mrs. James Joseph,Perkin
2013,12,1,N14542,835,835,1045,1037,EV,EWR,CVG,569.1,P0189,Miss. Elise,Givard
2013,12,1,M523JB,842,836,1141,1120,B6,JFK,TPA,1005.9,P0190,Mr. Robert,Kiernan
2013,12,1,N12540,842,837,1117,1114,EV,EWR,JAX,820.4,P0191,Mr. Karl Siegwart Andreas,Newell
2013,12,1,M830UA,719,837,941,1044,UA,EWR,MSY,1167.5,P0192,Miss. Margaret Maggie,Honkanen
2013,12,1,N37274,845,838,1201,1119,UA,LGA,IAH,1416.1,P0193,Miss. Henriette,Jacobsohn
2013,12,1,M751EV,845,839,1206,1128,EV,LGA,SRQ,1047.9,P0194,Mr. Nestor Cyriel,Bazzani
2013,12,1,N818MQ,825,839,1010,1011,MQ,JFK,RDU,427.6,P0195,Mr. Frederick,Sunderland
2013,12,1,N510MQ,840,840,1115,1105,MQ,LGA,ATL,762.7,P0196,Mr. Jakob Alfred,Bracken
2013,12,1,N38727,840,841,1155,1200,UA,EWR,SNA,2434.3,P0197,Mr. Gerious,Green
2013,12,1,M560UW,845,841,1053,1036,US,LGA,CLT,544.3,P0198,Mr. Gurshon Gus,Nenkoff
2013,12,1,N432UA,755,842,1114,1145,UA,EWR,PDX,2434.7,P0199,Miss. Telma Matilda,Hoyt
2013,12,1,M827JB,850,843,1228,1149,B6,JFK,SFO,2586,P0200,Mr. Karl Alfred,Berglund
2013,12,1,N12160,845,843,1054,1034,EV,EWR,MSP,1008.6,P0201,Mr. Nassef Cassem,Mellors
2013,12,1,N12175,835,843,1053,1051,EV,EWR,XNA,1131.2,P0202,Miss. Helen Ellen,Lovell
2013,12,1,N15986,750,846,912,952,EV,EWR,ROC,246.9,P0203,Mr. Henry,Fahlstrom
2013,12,1,N38473,845,848,1211,1202,UA,EWR,SEA,2402.7,P0204,Mr. Ahmed,Larsson
2013,12,1,N37471,822,849,1141,1155,UA,EWR,SAN,2425.2,P0205,Miss. Clear Annie,Sjostedt
2013,12,1,M76269,849,850,1205,1141,UA,EWR,IAH,1400,P0206,Mr. John Henry,Leyson
2013,12,1,N179JB,905,851,1024,959,B6,JFK,PWM,273.7,P0207,Mr. Hans Kristensen,Harknett
2013,12,1,M759EV,855,851,1025,1001,EV,LGA,ROC,254.8,P0208,Mr. Philip,Hold
2013,12,1,M659JB,900,852,1210,1157,B6,JFK,SAN,2446.6,P0209,Miss. Madeleine,Collyer
2013,12,1,N36247,745,852,1125,1203,UA,EWR,SFO,2565.7,P0210,Miss. Eliina,Pengelly
2013,12,1,N13553,821,853,1022,1049,EV,EWR,DAY,533.1,P0211,Mr. Sidney Samuel,Hunt
2013,12,1,N13110,850,853,1132,1102,UA,EWR,DEN,1605.8,P0212,Miss. Albina,Murphy
2013,12,1,M509JB,900,854,1157,1128,B6,EWR,MCO,937.8,P0213,Mr. Walter,Coleridge
2013,12,1,M978AT,900,854,1130,1119,DL,EWR,ATL,746.2,P0214,Mr. Victor Francis,Maenpaa
2013,12,1,M583AA,850,855,1035,1010,AA,LGA,ORD,733.6,P0215,Mr. James H,Minahan
2013,12,1,N3FSAA,900,855,1220,1142,AA,LGA,DFW,1389.1,P0216,Mr. George Henry,Lindahl
2013,12,1,M727TW,855,855,1345,1333,DL,JFK,SJU,1598.8,P0217,Mr. Christo,Hamalainen
2013,12,1,M709EV,900,855,1042,1015,EV,LGA,ORF,296.3,P0218,Mr. Frederick Maxfield,Beckwith
2013,12,1,N323AA,900,856,1225,1212,AA,JFK,LAX,2475.9,P0219,Mr. Karl Ivar Sven,Carter
2013,12,1,N343NW,905,857,1115,1047,DL,LGA,DTW,502.1,P0220,Mr. John Hall,Reed
2013,12,1,M717TW,900,857,1215,1143,DL,JFK,LAX,2475.1,P0221,Mr. Arne Jonas,Stead
2013,12,1,N3773D,900,857,1139,1125,DL,LGA,ATL,762.2,P0222,Miss. Mathilde,Lobb
2013,12,1,N9EAMQ,859,857,1104,1058,MQ,LGA,CLT,544.6,P0223,Mrs. Henry Birkhardt,Rosblom
2013,12,1,M76254,857,857,1231,1223,UA,EWR,SFO,2565.8,P0224,Mr. Bengt Edvin,Touma
2013,12,1,M534UA,900,857,1035,1008,UA,LGA,ORD,733.4,P0225,Mr. Ernst Adolf,Thorne
2013,12,1,N3GGAA,900,859,1220,1217,AA,LGA,MIA,1096.9,P0226,Miss. Lillian Gertrud,Cherry
2013,12,1,N832MQ,855,900,1100,1115,MQ,LGA,DTW,502.5,P0227,Mr. Robert Michael Norman,Ward
2013,12,1,M946UW,900,900,1023,1016,US,LGA,DCA,214.7,P0228,Miss. Alice Phoebe,Parrish
2013,12,1,M56859,900,901,1034,1013,UA,EWR,ORD,719.6,P0229,Mr. Stephen,Taussig
2013,12,1,M606LR,906,902,1114,1047,EV,EWR,DTW,488.7,P0230,Miss. Marjorie Lottie,Harrison
2013,12,1,N198JB,910,904,1025,1003,B6,JFK,BTV,266.3,P0231,Mr. Frederick Michael,Henry
2013,12,1,N317JB,905,904,1219,1211,B6,JFK,RSW,1074.5,P0232,Miss. Thamine,Reeves
2013,12,1,N301NB,910,904,1225,1236,DL,LGA,FLL,1076.8,P0233,Miss. Katherine Kate,Persson
2013,12,1,M840VA,905,904,1225,1210,VX,EWR,LAX,2454,P0234,Mr. Reginald Charles,Graham
2013,12,1,M754EV,910,905,1130,1107,EV,LGA,CLT,544.7,P0235,Mr. Matti Alexanteri,Bissette
2013,12,1,M643JB,900,907,1206,1230,B6,JFK,FLL,1069.1,P0236,Mr. Sleiman,Cairns
2013,12,1,M994DL,915,909,1219,1210,DL,LGA,MCO,950.1,P0237,Dr. Michael Edward,Tornquist
2013,12,1,M593JB,908,910,1204,1151,B6,JFK,PBI,1028.6,P0238,Miss. Agda Thorilda Viktoria,Mellinger
2013,12,1,N340NB,915,910,1235,1214,DL,LGA,MIA,1096.4,P0239,Mr. Richard Leonard,Natsch
2013,12,1,N193JB,920,911,1041,1025,B6,JFK,ROC,264.3,P0240,Rev. Ernest Courtenay,Healy
2013,12,1,N24202,913,914,1219,1227,UA,EWR,RSW,1068.2,P0241,Mr. James George,Andrews
2013,12,1,M566JB,930,915,1237,1230,B6,LGA,FLL,1076,P0242,Mrs. Wilhelm,Lindblom
2013,12,1,M894AT,925,916,1153,1148,FL,LGA,ATL,762,P0243,Mr. Michael Thomas,Parkes
